household_key,shop_trip_count,product_count,total_spent,total_size,age,income,household_count,per_capita_size,per_capita_cost
1,71,1604,4212.37,33071.79,70,42.5,2,16535.895,2106.185
1001,78,706,2721.18,14276.09,50,62.5,1,14276.09,2721.18
1003,51,755,2846.18,18152.08,40,30,1,18152.08,2846.18
1004,175,765,2708.29,17943.25,30,20,1,17943.25,2708.29
1024,114,2298,10460.36,48918,30,10,4,12229.5,2615.09
1038,229,1014,2199.57,21533.5,60,10,1,21533.5,2199.57
1045,187,1606,4004.98,37038.6,30,10,2,18519.3,2002.49
105,156,2782,7344.73,58559.04,30,10,3,19519.68,2448.243333
1053,92,1051,3776.6,23447.67,60,112.5,2,11723.835,1888.3
1060,56,2164,6029.44,44928.48,40,42.5,2,22464.24,3014.72
1062,184,948,2193.59,20493.85,70,20,2,10246.925,1096.795
1066,215,1394,3217.34,39238.32,40,30,2,19619.16,1608.67
1070,118,1491,3933.9,30492.91,40,62.5,2,15246.455,1966.95
1074,113,2188,7934.08,45001.42,50,42.5,4,11250.355,1983.52
1081,126,2371,8856.42,48433.85,60,87.5,2,24216.925,4428.21
1082,117,1014,2214.01,24037.73,50,42.5,1,24037.73,2214.01
109,100,1241,2749.01,29332.9,30,20,2,14666.45,1374.505
1091,59,1122,3790.14,24118.15,50,87.5,2,12059.075,1895.07
1113,164,1466,5087.55,36534.42,50,62.5,3,12178.14,1695.85
1123,59,1009,3406.16,22216.97,60,20,2,11108.485,1703.08
113,132,4112,13020.78,98071.8,40,137.5,4,24517.95,3255.195
1130,308,2261,7692.25,47404.9,60,30,3,15801.63333,2564.083333
1137,116,686,1740.09,18371.16,70,42.5,1,18371.16,1740.09
1138,196,1182,5248.48,23232.5,40,20,2,11616.25,2624.24
1146,295,2800,10592.39,64475.82,40,42.5,4,16118.955,2648.0975
1147,54,1003,4012.61,21980.86,22,30,2,10990.43,2006.305
1151,140,707,3117.46,19469.02,50,10,1,19469.02,3117.46
1154,123,1215,4032.8,27327.43,50,42.5,2,13663.715,2016.4
1158,166,919,2632.58,22137,50,20,2,11068.5,1316.29
1159,188,1306,3233.97,26923.91,50,20,2,13461.955,1616.985
1166,215,2925,8618.08,65691.96,50,137.5,3,21897.32,2872.693333
1169,117,2355,7411.41,47280.73,22,20,2,23640.365,3705.705
117,91,1336,3033.82,31716.35,70,42.5,2,15858.175,1516.91
1172,114,775,2585.46,19187.44,30,62.5,1,19187.44,2585.46
1175,80,1548,5057.71,36800.72,30,62.5,2,18400.36,2528.855
119,52,542,1709.44,12083.39,50,137.5,1,12083.39,1709.44
1197,103,1472,5964.6,33140,40,162.5,2,16570,2982.3
1226,71,2330,7609.11,55289.22,30,42.5,3,18429.74,2536.37
123,145,1411,3746.87,29282.52,50,42.5,2,14641.26,1873.435
1234,93,1348,4976.43,28262.86,50,42.5,2,14131.43,2488.215
1236,163,1566,4325.5,30734.73,40,62.5,3,10244.91,1441.833333
1256,148,1473,5139.76,36597.82,50,62.5,2,18298.91,2569.88
1258,188,858,2757.75,21010.28,50,87.5,1,21010.28,2757.75
1267,61,525,1102.48,11533.77,30,87.5,1,11533.77,1102.48
1270,66,605,2814.83,16834.66,50,20,1,16834.66,2814.83
1285,115,1705,5507.88,35431.57,30,30,3,11810.52333,1835.96
1291,97,1121,3373.03,23937.37,60,42.5,2,11968.685,1686.515
1296,80,825,2574.29,24367.61,70,30,2,12183.805,1287.145
1297,105,595,1656.62,15181.54,40,87.5,1,15181.54,1656.62
